condition,experiment,speed,session_length,meta,seed,hmm_accuracy,total_pnl,sharpe,n_vetoes,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile,lag_trending_to_mean_rev,lag_trending_to_volatile,lag_mean_rev_to_trending,lag_mean_rev_to_volatile,lag_volatile_to_trending,lag_volatile_to_mean_rev,pnl_when_correct,pnl_when_incorrect,avg_pnl_correct,avg_pnl_incorrect,conf_at_transition,conf_at_stable
sesslen_60,session_sweep,medium,60.0,False,1153471705,0.5443,2020.0,0.2481,15,0,1.0,0.9615,0.0303,0.85,0.0,1.0,1.0,1.0,0.0,1.0,1650.0,370.0,48.53,12.33,0.9572,0.9701
sesslen_120,session_sweep,medium,120.0,False,967915196,0.8608,2126.0,0.2137,33,0,1.75,0.7857,0.5,0.9767,0.0,1.333,0.0,1.0,2.333,2.0,1932.0,194.0,52.22,21.56,0.9125,0.9525
sesslen_180,session_sweep,medium,180.0,False,1168933988,0.8101,1900.0,0.2166,48,0,1.12,0.7692,0.7391,1.0,1.0,0.0,1.0,1.0,0.0,1.5,856.0,1044.0,53.5,69.6,0.9981,0.9951
sesslen_180,session_sweep,medium,180.0,False,512630718,0.4937,2466.0,0.1857,43,0,1.88,0.3889,0.3636,0.9412,2.5,0.0,4.0,1.0,2.0,1.0,1234.0,1232.0,94.92,53.57,0.9959,0.9578
sesslen_300,session_sweep,medium,300.0,False,447336546,0.7722,2378.0,0.2363,25,0,1.0,0.7143,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1638.0,740.0,40.95,52.86,0.9498,0.9988
medium_nometa,speed_sweep,medium,300.0,False,1372930888,0.8481,1914.0,0.2149,38,0,1.12,0.76,0.7368,0.9714,0.0,1.333,1.0,1.0,1.0,1.0,1206.0,708.0,38.9,70.8,0.9905,0.989
fast_nometa,speed_sweep,fast,300.0,False,485554571,0.8481,1986.0,0.2204,40,0,1.13,0.875,0.6667,1.0,1.0,1.0,1.0,1.0,1.667,1.0,928.0,1058.0,34.37,88.17,0.9754,0.996
very_fast_nometa,speed_sweep,very_fast,300.0,False,808099094,0.7468,1834.0,0.2197,45,0,1.03,0.7619,0.5,1.0,1.0,1.0,1.0,1.0,1.25,1.0,522.0,1312.0,37.29,65.6,0.9989,0.9992
fast_meta,speed_sweep,fast,300.0,True,586572350,0.7722,1876.0,0.1961,44,0,1.12,0.8571,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.2,554.0,1322.0,25.18,101.69,0.9987,0.9756
very_fast_nometa,speed_sweep,very_fast,300.0,False,1513363688,0.7595,2356.0,0.2262,49,0,1.18,0.5,0.7143,1.0,1.0,1.0,1.667,1.0,1.25,1.25,1736.0,620.0,157.82,32.63,0.9981,0.9861
fast_meta,speed_sweep,fast,300.0,True,834783323,0.8354,2270.0,0.2249,45,0,1.33,0.6,0.6897,1.0,1.0,1.0,1.0,1.0,2.5,1.5,1636.0,634.0,77.9,48.77,0.9999,0.9989
sesslen_300,session_sweep,medium,300.0,False,593432247,0.8228,1855.0,0.2153,39,0,1.43,0.871,0.7273,0.9333,1.0,2.0,1.0,1.0,3.0,1.0,489.0,1366.0,18.81,97.57,0.9956,0.9876
medium_nometa,speed_sweep,medium,300.0,False,2038962224,0.6962,2206.0,0.214,27,0,2.86,0.6364,0.4,1.0,5.5,1.0,1.0,1.0,3.0,0.0,2206.0,0.0,78.79,0.0,1.0,0.9849
sesslen_300,session_sweep,medium,300.0,False,611483187,0.7468,1984.0,0.2162,30,0,1.5,0.8929,0.65,0.6774,0.0,1.0,1.0,2.0,2.0,2.0,804.0,1180.0,23.65,78.67,1.0,0.9975
fast_meta,speed_sweep,fast,300.0,True,1624225839,0.7848,1978.0,0.1941,43,0,1.33,0.6842,0.6667,1.0,1.2,1.0,1.0,1.0,1.75,2.0,1310.0,668.0,68.95,39.29,0.9992,0.9997
slow_nometa,speed_sweep,slow,300.0,False,1438500428,0.8734,1234.0,0.1816,51,0,1.0,0.0,0.7674,1.0,0.0,0.0,0.0,1.0,0.0,1.0,582.0,652.0,32.33,65.2,1.0,0.9999
very_fast_meta,speed_sweep,very_fast,300.0,True,1724373793,0.8101,1996.0,0.2209,42,0,1.12,0.76,0.5714,1.0,1.0,1.0,1.667,1.0,1.0,1.4,1328.0,668.0,57.74,47.71,0.9949,0.9933
very_fast_nometa,speed_sweep,very_fast,300.0,False,1690415395,0.7342,2186.0,0.2421,40,0,1.19,0.5484,0.6111,1.0,1.0,1.0,1.2,1.0,1.833,1.0,830.0,1356.0,46.11,64.57,0.9988,0.9932
very_fast_meta,speed_sweep,very_fast,300.0,True,1488134445,0.7848,2906.0,0.2365,40,0,1.12,0.8438,0.5652,0.9167,1.0,1.0,1.0,1.0,1.286,1.5,2028.0,878.0,92.18,51.65,0.9949,0.9963
sesslen_300,session_sweep,medium,300.0,False,979126540,0.8228,2130.0,0.2102,46,0,1.86,0.6818,0.7692,0.9677,2.0,2.0,2.0,1.0,2.5,1.0,2130.0,0.0,112.11,0.0,0.9884,0.9672
fast_nometa,speed_sweep,fast,300.0,False,1346481931,0.8734,2196.0,0.2258,30,0,1.31,0.9091,0.6111,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1508.0,688.0,38.67,68.8,0.9987,0.9821
slow_meta,speed_sweep,slow,300.0,True,700189163,0.8101,2016.0,0.2054,29,0,1.33,0.7436,0.75,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1040.0,976.0,29.71,65.07,0.9997,0.9825
sesslen_180,session_sweep,medium,180.0,False,1175286378,0.6835,2224.0,0.2156,42,0,2.5,0.5294,0.619,0.9583,1.0,1.0,2.0,1.0,4.0,6.0,1592.0,632.0,106.13,28.73,0.9999,0.9524
sesslen_300,session_sweep,medium,300.0,False,261244933,0.7215,2278.0,0.1926,37,0,1.14,0.6667,0.7059,0.85,1.0,1.5,1.0,0.0,1.0,0.0,1608.0,670.0,69.91,35.26,0.9447,0.9719
