condition,experiment,speed,session_length,meta,n_trials,hmm_accuracy_mean,hmm_accuracy_std,hmm_accuracy_ci95,total_pnl_mean,total_pnl_std,total_pnl_ci95,sharpe_mean,sharpe_std,sharpe_ci95,n_vetoes_mean,n_vetoes_std,n_vetoes_ci95,n_retrains_mean,n_retrains_std,n_retrains_ci95,detection_lag_mean,detection_lag_std,detection_lag_ci95,acc_trending_mean,acc_trending_std,acc_trending_ci95,acc_mean_reverting_mean,acc_mean_reverting_std,acc_mean_reverting_ci95,acc_volatile_mean,acc_volatile_std,acc_volatile_ci95,lag_trending_to_mean_rev_mean,lag_trending_to_mean_rev_std,lag_trending_to_mean_rev_ci95,lag_trending_to_volatile_mean,lag_trending_to_volatile_std,lag_trending_to_volatile_ci95,lag_mean_rev_to_trending_mean,lag_mean_rev_to_trending_std,lag_mean_rev_to_trending_ci95,lag_mean_rev_to_volatile_mean,lag_mean_rev_to_volatile_std,lag_mean_rev_to_volatile_ci95,lag_volatile_to_trending_mean,lag_volatile_to_trending_std,lag_volatile_to_trending_ci95,lag_volatile_to_mean_rev_mean,lag_volatile_to_mean_rev_std,lag_volatile_to_mean_rev_ci95,pnl_when_correct_mean,pnl_when_correct_std,pnl_when_correct_ci95,pnl_when_incorrect_mean,pnl_when_incorrect_std,pnl_when_incorrect_ci95,avg_pnl_correct_mean,avg_pnl_correct_std,avg_pnl_correct_ci95,avg_pnl_incorrect_mean,avg_pnl_incorrect_std,avg_pnl_incorrect_ci95,conf_at_transition_mean,conf_at_transition_std,conf_at_transition_ci95,conf_at_stable_mean,conf_at_stable_std,conf_at_stable_ci95
sesslen_60,session_sweep,medium,60.0,False,49,0.5518,0.1144,0.032,2059.102,395.9432,110.8641,0.2216,0.025,0.007,40.1633,11.9345,3.3416,0.0,0.0,0.0,1.8222,0.5339,0.1495,0.5137,0.3196,0.0895,0.387,0.2864,0.0802,0.7407,0.236,0.0661,1.2109,1.3964,0.391,1.2874,0.6836,0.1914,1.2993,1.6753,0.4691,1.2755,1.3236,0.3706,2.085,1.6984,0.4755,1.1259,1.2112,0.3391,1190.3878,676.3944,189.3904,868.7143,479.9437,134.3842,70.1492,58.5506,16.3942,49.1653,25.1703,7.0477,0.958,0.0338,0.0095,0.9529,0.0276,0.0077
sesslen_120,session_sweep,medium,120.0,False,50,0.6392,0.1516,0.042,2044.4,314.0898,87.0613,0.2242,0.0184,0.0051,40.66,11.0095,3.0517,0.0,0.0,0.0,1.7528,0.6496,0.1801,0.5196,0.2847,0.0789,0.5578,0.2598,0.072,0.8748,0.2179,0.0604,1.34,2.0663,0.5728,0.9433,0.7534,0.2088,1.3133,1.3057,0.3619,0.8833,0.4905,0.136,2.17,2.5678,0.7118,1.05,1.0264,0.2845,1147.08,566.9247,157.1435,897.32,496.577,137.6441,62.574,43.1333,11.9559,56.422,33.8018,9.3694,0.9672,0.0377,0.0105,0.9667,0.0217,0.006
sesslen_180,session_sweep,medium,180.0,False,50,0.7109,0.1156,0.032,2071.68,233.2931,64.6656,0.2238,0.0141,0.0039,38.78,8.1373,2.2555,0.0,0.0,0.0,1.646,0.5964,0.1653,0.666,0.2023,0.0561,0.5828,0.251,0.0696,0.9069,0.1257,0.0348,1.4467,1.6709,0.4631,0.9967,0.5669,0.1572,1.3584,1.0376,0.2876,0.8267,0.5995,0.1662,1.9583,1.9841,0.55,1.36,1.6844,0.4669,1260.16,575.9494,159.645,811.52,520.4627,144.2649,58.3702,33.9824,9.4195,52.3476,34.8516,9.6604,0.979,0.025,0.0069,0.97,0.0194,0.0054
sesslen_300,session_sweep,medium,300.0,False,49,0.7817,0.0972,0.0272,2062.0,348.8424,97.6759,0.2125,0.0339,0.0095,38.7959,9.7361,2.7261,0.0,0.0,0.0,1.3851,0.3233,0.0905,0.7279,0.2196,0.0615,0.6348,0.2108,0.059,0.9575,0.0806,0.0226,0.949,1.251,0.3503,0.8843,0.4777,0.1338,1.2755,1.1048,0.3093,0.7993,0.4942,0.1384,1.1463,0.984,0.2755,1.3979,0.9408,0.2634,1300.2857,498.4144,139.556,761.7143,401.1733,112.3285,53.1941,28.3428,7.936,58.4718,31.9591,8.9486,0.974,0.096,0.0269,0.9657,0.0949,0.0266
medium_nometa,speed_sweep,medium,300.0,False,49,0.7683,0.1154,0.0323,2033.2245,268.5926,75.2059,0.2109,0.0181,0.0051,36.898,8.6488,2.4217,0.0,0.0,0.0,1.4749,0.5465,0.153,0.7332,0.2241,0.0627,0.5905,0.2475,0.0693,0.9664,0.0749,0.021,1.0884,1.3009,0.3642,0.8503,0.6555,0.1835,1.0238,0.9483,0.2655,0.8367,0.5533,0.1549,1.5068,1.4895,0.4171,1.2959,1.3274,0.3717,1212.0,598.5392,167.591,821.2245,482.8624,135.2015,46.3769,26.7648,7.4941,60.4257,34.6745,9.7089,0.9874,0.0247,0.0069,0.9815,0.0166,0.0047
fast_nometa,speed_sweep,fast,300.0,False,49,0.7471,0.1214,0.034,2042.2245,204.5138,57.2639,0.2138,0.0168,0.0047,39.0204,8.4717,2.3721,0.0,0.0,0.0,1.36,0.2319,0.0649,0.7098,0.2279,0.0638,0.589,0.2345,0.0657,0.9536,0.0747,0.0209,1.0357,0.5678,0.159,1.099,0.2787,0.078,1.3473,0.5948,0.1665,1.0425,0.3132,0.0877,1.7143,0.8296,0.2323,1.5388,1.0524,0.2947,1250.3469,496.9436,139.1442,791.8776,469.1843,131.3716,55.2873,32.9202,9.2177,55.8998,30.6609,8.5851,0.9884,0.0196,0.0055,0.9824,0.0178,0.005
very_fast_nometa,speed_sweep,very_fast,300.0,False,50,0.7392,0.0788,0.0218,2100.58,229.4152,63.5907,0.2138,0.0177,0.0049,42.96,6.5152,1.8059,0.0,0.0,0.0,1.1878,0.087,0.0241,0.693,0.1633,0.0453,0.5787,0.1571,0.0435,0.9422,0.1115,0.0309,1.0595,0.2683,0.0744,1.047,0.096,0.0266,1.2411,0.3099,0.0859,1.0168,0.0877,0.0243,1.391,0.3066,0.085,1.3757,0.4506,0.1249,1201.78,541.1754,150.0062,898.8,493.5074,136.7933,74.1212,43.8172,12.1455,49.959,23.9044,6.6259,0.9891,0.016,0.0044,0.9843,0.0202,0.0056
fast_meta,speed_sweep,fast,300.0,True,50,0.7532,0.1097,0.0304,2120.82,236.7004,65.61,0.2115,0.0145,0.004,37.06,8.1901,2.2702,0.4,1.0302,0.2855,1.3858,0.2698,0.0748,0.7431,0.1522,0.0422,0.5771,0.1948,0.054,0.9343,0.127,0.0352,1.326,1.0971,0.3041,1.0767,0.393,0.1089,1.239,0.5751,0.1594,1.0233,0.3689,0.1022,1.7157,0.8358,0.2317,1.6287,1.0689,0.2963,1365.82,445.683,123.537,755.0,397.3044,110.1272,56.1122,20.2804,5.6214,49.7378,26.6242,7.3798,0.9887,0.0198,0.0055,0.9851,0.0166,0.0046
slow_nometa,speed_sweep,slow,300.0,False,50,0.7618,0.1192,0.033,1995.02,340.2072,94.3006,0.2097,0.0165,0.0046,36.1,11.1999,3.1045,0.0,0.0,0.0,1.4628,0.6726,0.1864,0.6419,0.2965,0.0822,0.5656,0.2935,0.0814,0.8833,0.2316,0.0642,0.59,1.6216,0.4495,0.66,0.7174,0.1989,0.84,1.0373,0.2875,0.48,0.7068,0.1959,0.79,1.4502,0.402,0.76,0.8033,0.2227,1220.3,606.3643,168.0756,774.72,532.4511,147.5879,50.3052,29.8357,8.27,54.0304,39.4115,10.9243,0.9842,0.038,0.0105,0.9784,0.0219,0.0061
very_fast_meta,speed_sweep,very_fast,300.0,True,50,0.721,0.1232,0.0341,2093.18,230.9828,64.0252,0.2125,0.0168,0.0047,44.02,5.2857,1.4651,0.48,1.2816,0.3552,1.1776,0.1015,0.0281,0.6847,0.1313,0.0364,0.5398,0.2287,0.0634,0.9339,0.1441,0.0399,0.9582,0.3844,0.1065,1.0636,0.1493,0.0414,1.1847,0.1907,0.0529,1.0939,0.2843,0.0788,1.3936,0.3551,0.0984,1.2412,0.5777,0.1601,1374.38,494.8938,137.1776,718.8,394.4588,109.3384,83.283,34.8089,9.6485,41.5884,21.8052,6.0441,0.9865,0.0278,0.0077,0.9831,0.0254,0.007
