threshold,seed,hmm_accuracy,total_pnl,sharpe,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile
0.5,1613259509,0.3165,1666.0,0.2172,6,2.0,0.6579,0.0,0.0
0.2,1344490671,0.443,3410.0,0.1696,7,2.4,0.3846,0.25,0.5676
0.35,246852228,0.557,1428.0,0.2023,6,1.0,1.0,0.0,0.6364
0.6,66180801,0.6835,2178.0,0.2106,1,2.14,0.3,0.9118,0.5714
0.35,1664326599,0.6709,2114.0,0.2402,3,1.43,0.7667,0.4,0.7586
0.5,1846626566,0.8608,2092.0,0.2257,0,1.25,0.9143,0.6522,1.0
0.2,782202776,0.481,1300.0,0.1601,5,1.0,0.8571,0.0,0.9524
0.35,254289082,0.4304,2462.0,0.2194,6,2.6,0.5926,0.0455,0.5667
0.2,1636616361,0.8861,2316.0,0.2094,0,1.14,0.9118,0.7273,1.0
0.35,1549444455,0.481,2100.0,0.2074,6,3.29,0.5263,0.4118,0.4583
0.5,921144509,0.8228,2174.0,0.2161,1,1.14,0.8,0.6364,1.0
0.2,184491686,0.5823,2142.0,0.2274,6,2.0,0.4412,0.5,0.9474
0.5,1185200747,0.7595,2278.0,0.2145,0,1.43,0.68,0.5217,1.0
0.6,654855534,0.8608,2056.0,0.2374,0,1.57,0.8261,0.72,1.0
0.6,793911338,0.8228,1886.0,0.2144,0,1.0,0.76,0.7812,0.9545
0.2,279055573,0.4937,2188.0,0.1948,7,1.8,0.6571,0.2903,0.5385
0.2,1589547158,0.443,2146.0,0.1951,7,2.67,0.7619,0.1707,0.7059
0.35,1252575882,0.7722,2292.0,0.1907,2,1.43,0.7714,0.4375,0.9643
0.2,317309651,0.7468,2070.0,0.2211,6,1.33,0.9091,0.7297,0.7097
0.6,132201440,0.7848,1890.0,0.1969,0,1.29,0.8696,0.44,1.0
0.6,1604705165,0.8734,2068.0,0.2207,0,1.14,0.7333,0.7778,1.0
0.5,2025542324,0.8354,2138.0,0.2534,0,1.5,0.7632,0.7647,1.0
0.35,1988474026,0.7215,1918.0,0.2164,2,1.71,0.75,0.6667,0.7368
0.35,129817274,0.3291,1366.0,0.1594,7,1.0,0.25,0.3143,0.375
0.2,211070052,0.6962,1986.0,0.1907,6,1.2,1.0,0.0769,1.0
0.35,395876542,0.3038,2080.0,0.2267,7,2.75,0.25,0.0278,0.7826
0.6,1243755858,0.6203,2096.0,0.2174,0,1.5,0.4815,0.64,0.7407
0.35,1217802086,0.8481,2174.0,0.2123,0,1.12,0.7917,0.75,1.0
0.2,898917770,0.5063,2536.0,0.2075,7,1.25,0.7941,0.0,0.5909
0.5,1594089078,0.519,2016.0,0.2151,5,2.67,0.5,0.55,0.5185
0.6,1421853138,0.6203,2178.0,0.2105,2,2.43,0.375,0.625,0.7419
0.5,1015577239,0.3038,1284.0,0.1599,6,1.5,1.0,0.2778,0.1471
0.6,837899079,0.7342,2126.0,0.2102,1,1.67,0.6,0.55,1.0
0.35,165852410,0.6582,2146.0,0.1951,3,1.33,0.6923,0.6216,0.6897
0.6,726521799,0.6203,1340.0,0.1803,2,1.0,0.8095,0.0,1.0
0.6,668923868,0.4684,2098.0,0.1962,3,2.5,0.3846,0.2273,0.7097
0.5,2032189115,0.6456,2188.0,0.2197,3,1.8,0.8788,0.0,0.9565
0.2,1091924742,0.3418,1894.0,0.1963,7,3.0,0.4706,0.4483,0.1818
0.35,1098321767,0.3671,2024.0,0.2335,6,2.0,0.6,0.2667,0.3529
0.35,106952788,0.4557,2260.0,0.2159,6,2.6,0.6765,0.0,0.3824
0.6,1023773099,0.8101,1986.0,0.1958,0,1.33,0.7568,0.76,1.0
0.6,1008096436,0.5316,1880.0,0.1964,3,2.0,0.6176,0.1739,0.7727
0.35,426657919,0.5443,2080.0,0.2221,6,1.89,0.3793,0.7778,0.4783
0.5,1922743133,0.5063,1940.0,0.2153,4,2.71,0.9375,0.16,0.2727
0.5,1920347305,0.8228,2116.0,0.226,1,1.5,0.7143,0.8889,0.881
0.5,531926445,0.7975,2028.0,0.1971,0,1.0,0.6087,0.7586,1.0
0.5,542949439,0.8987,1938.0,0.2199,0,1.29,0.9231,0.7333,0.9474
0.35,1187533880,0.3291,1332.0,0.1749,6,2.0,0.6842,0.2,0.2333
0.5,389857930,0.8608,1966.0,0.1966,0,1.12,0.76,0.7368,1.0
0.6,518884756,0.7722,1864.0,0.2169,0,1.43,0.7826,0.4348,1.0
0.5,169846443,0.6329,1856.0,0.2229,2,1.67,1.0,0.3636,0.9565
0.35,139254492,0.4304,1996.0,0.2218,7,1.33,0.4783,0.3684,0.4324
0.5,256530556,0.5316,2514.0,0.2302,4,1.5,0.35,0.4815,0.6875
0.35,700107730,0.3797,1012.0,0.1561,6,1.83,0.8696,0.125,0.3125
0.35,1580402134,0.8608,1978.0,0.2201,0,1.5,0.875,0.7037,1.0
0.6,260804951,0.8228,1932.0,0.213,0,1.5,0.7812,0.72,1.0
0.2,75727597,0.5063,2528.0,0.2301,6,1.71,0.8,0.1111,0.5366
0.35,658016076,0.8101,2279.0,0.2175,1,1.5,0.6667,0.0,0.95
0.2,1627665569,0.3291,1718.0,0.1962,7,1.57,0.3,0.3636,0.28
0.2,960511062,0.4304,2224.0,0.2142,7,2.33,0.875,0.2857,0.3571
